,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
168,336,2016,9,True,Jacksonville,KansasCity,14,19,33,20169JacksonvilleKansasCity,20169KansasCityJacksonville
169,338,2016,9,True,Dallas,Cleveland,35,10,45,20169DallasCleveland,20169ClevelandDallas
170,340,2016,9,True,Pittsburgh,Baltimore,14,21,35,20169PittsburghBaltimore,20169BaltimorePittsburgh
171,342,2016,9,True,NewOrleans,SanFrancisco,41,23,64,20169NewOrleansSanFrancisco,20169SanFranciscoNewOrleans
172,344,2016,9,True,Carolina,LosAngeles,13,10,23,20169CarolinaLosAngeles,20169LosAngelesCarolina
173,346,2016,9,True,Indianapolis,GreenBay,31,26,57,20169IndianapolisGreenBay,20169GreenBayIndianapolis
174,348,2016,9,True,Tennessee,SanDiego,35,43,78,20169TennesseeSanDiego,20169SanDiegoTennessee
175,350,2016,9,True,Denver,Oakland,20,30,50,20169DenverOakland,20169OaklandDenver
176,352,2016,9,True,Buffalo,Seattle,25,31,56,20169BuffaloSeattle,20169SeattleBuffalo
177,354,2016,10,True,Cleveland,Baltimore,7,28,35,201610ClevelandBaltimore,201610BaltimoreCleveland
178,356,2016,10,True,Houston,Jacksonville,24,21,45,201610HoustonJacksonville,201610JacksonvilleHouston
179,358,2016,10,True,Denver,NewOrleans,25,23,48,201610DenverNewOrleans,201610NewOrleansDenver
180,360,2016,10,True,LosAngeles,NYJets,9,6,15,201610LosAngelesNYJets,201610NYJetsLosAngeles
181,362,2016,10,True,Atlanta,Philadelphia,15,24,39,201610AtlantaPhiladelphia,201610PhiladelphiaAtlanta
182,364,2016,10,True,KansasCity,Carolina,20,17,37,201610KansasCityCarolina,201610CarolinaKansasCity
183,366,2016,10,True,Chicago,TampaBay,10,36,46,201610ChicagoTampaBay,201610TampaBayChicago
184,368,2016,10,True,Minnesota,Washington,20,26,46,201610MinnesotaWashington,201610WashingtonMinnesota
185,370,2016,10,True,GreenBay,Tennessee,25,47,72,201610GreenBayTennessee,201610TennesseeGreenBay
186,372,2016,10,True,Miami,SanDiego,31,24,55,201610MiamiSanDiego,201610SanDiegoMiami
187,374,2016,10,True,SanFrancisco,Arizona,20,23,43,201610SanFranciscoArizona,201610ArizonaSanFrancisco
188,376,2016,10,True,Dallas,Pittsburgh,35,30,65,201610DallasPittsburgh,201610PittsburghDallas
189,378,2016,10,True,Seattle,NewEngland,31,24,55,201610SeattleNewEngland,201610NewEnglandSeattle
190,380,2016,10,True,Cincinnati,NYGiants,20,21,41,201610CincinnatiNYGiants,201610NYGiantsCincinnati
191,382,2016,11,True,NewOrleans,Carolina,20,23,43,201611NewOrleansCarolina,201611CarolinaNewOrleans
192,384,2016,11,True,Pittsburgh,Cleveland,24,9,33,201611PittsburghCleveland,201611ClevelandPittsburgh
193,386,2016,11,True,Baltimore,Dallas,17,27,44,201611BaltimoreDallas,201611DallasBaltimore
194,388,2016,11,True,Jacksonville,Detroit,19,26,45,201611JacksonvilleDetroit,201611DetroitJacksonville
195,390,2016,11,True,Tennessee,Indianapolis,17,24,41,201611TennesseeIndianapolis,201611IndianapolisTennessee
196,392,2016,11,True,Buffalo,Cincinnati,16,12,28,201611BuffaloCincinnati,201611CincinnatiBuffalo
197,394,2016,11,True,TampaBay,KansasCity,19,17,36,201611TampaBayKansasCity,201611KansasCityTampaBay
198,396,2016,11,True,Chicago,NYGiants,16,22,38,201611ChicagoNYGiants,201611NYGiantsChicago
199,398,2016,11,True,Arizona,Minnesota,24,30,54,201611ArizonaMinnesota,201611MinnesotaArizona
200,400,2016,11,True,Miami,LosAngeles,14,10,24,201611MiamiLosAngeles,201611LosAngelesMiami
201,402,2016,11,True,NewEngland,SanFrancisco,30,17,47,201611NewEnglandSanFrancisco,201611SanFranciscoNewEngland
202,404,2016,11,True,Philadelphia,Seattle,15,26,41,201611PhiladelphiaSeattle,201611SeattlePhiladelphia
